=== Evaluación de Modelos ===

Precisión KNN en prueba: 62.02
Precisión Red Neuronal en prueba: 55.62

Etiquetas de clase:
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A_U, B_U, C_U, D_U, E_U, F_U, G_U, H_U, I_U, J_U, K_U, L_U, M_U, N_U, O_U, P_U, Q_U, R_U, S_U, T_U, U_U, V_U, W_U, X_U, Y_U, Z_U, a_L, b_L, c_L, d_L, e_L, f_L, g_L, h_L, i_L, j_L, k_L, l_L, m_L, n_L, o_L, p_L, q_L, r_L, s_L, t_L, u_L, v_L, w_L, x_L, y_L, z_L

Matriz de confusión KNN:
[[34  3  0 ...  0  0  0]
 [ 0 42  0 ...  0  0  0]
 [ 0  0 40 ...  0  0  2]
 ...
 [ 0  1  0 ... 43  0  1]
 [ 0  0  0 ...  0 34  0]
 [ 0  0  7 ...  0  0 40]]

Reporte de clasificación KNN:
              precision    recall  f1-score   support

           0       0.26      0.61      0.37        56
           1       0.33      0.74      0.45        57
           2       0.54      0.78      0.64        51
           3       0.58      0.67      0.62        57
           4       0.52      0.73      0.61        63
           5       0.49      0.55      0.52        60
           6       0.41      0.60      0.49        60
           7       0.47      0.72      0.57        47
           8       0.54      0.52      0.53        64
           9       0.78      0.65      0.71        66
         A_U       0.70      0.80      0.75        65
         B_U       0.50      0.60      0.55        53
         C_U       0.61      0.66      0.63        58
         D_U       0.64      0.61      0.62        61
         E_U       0.43      0.40      0.42        52
         F_U       0.55      0.68      0.61        57
         G_U       0.71      0.38      0.49        63
         H_U       0.62      0.61      0.61        56
         I_U       0.30      0.51      0.38        70
         J_U       0.47      0.68      0.55        56
         K_U       0.72      0.83      0.77        47
         L_U       0.67      0.63      0.65        57
         M_U       0.86      0.72      0.78        60
         N_U       0.69      0.63      0.66        54
         O_U       0.38      0.47      0.42        59
         P_U       0.74      0.48      0.58        61
         Q_U       0.70      0.57      0.62        53
         R_U       0.79      0.56      0.65        59
         S_U       0.79      0.60      0.68        62
         T_U       0.75      0.65      0.70        60
         U_U       0.68      0.65      0.67        55
         V_U       0.77      0.67      0.72        66
         W_U       0.81      0.84      0.82        64
         X_U       0.90      0.65      0.75        68
         Y_U       0.77      0.79      0.78        56
         Z_U       0.80      0.68      0.74        78
         a_L       0.41      0.53      0.46        57
         b_L       0.62      0.60      0.61        65
         c_L       0.60      0.75      0.67        52
         d_L       0.85      0.59      0.70        68
         e_L       0.76      0.62      0.69        56
         f_L       0.62      0.55      0.58        53
         g_L       0.76      0.54      0.63        63
         h_L       0.56      0.65      0.60        52
         i_L       0.56      0.44      0.49        55
         j_L       0.80      0.48      0.60        67
         k_L       0.91      0.62      0.74        52
         l_L       0.37      0.48      0.41        63
         m_L       0.91      0.68      0.78        63
         n_L       0.53      0.41      0.46        61
         o_L       0.48      0.51      0.50        57
         p_L       0.95      0.59      0.73        64
         q_L       0.71      0.61      0.65        59
         r_L       0.71      0.75      0.73        59
         s_L       0.87      0.77      0.81        60
         t_L       0.79      0.52      0.63        63
         u_L       0.76      0.59      0.66        70
         v_L       0.76      0.69      0.72        77
         w_L       0.86      0.73      0.79        70
         x_L       0.88      0.80      0.83        54
         y_L       0.94      0.52      0.67        65
         z_L       0.77      0.62      0.69        64

    accuracy                           0.62      3720
   macro avg       0.66      0.62      0.63      3720
weighted avg       0.67      0.62      0.63      3720


Matriz de confusión Red Neuronal:
[[16  0  0 ...  0  0  0]
 [ 0 26  0 ...  0  0  1]
 [ 0  0 25 ...  1  0  6]
 ...
 [ 0  0  0 ... 31  1  7]
 [ 0  1  0 ...  2 34  0]
 [ 0  0  4 ...  2  0 40]]

Reporte de clasificación Red Neuronal:
              precision    recall  f1-score   support

           0       0.38      0.29      0.33        56
           1       0.59      0.46      0.51        57
           2       0.68      0.49      0.57        51
           3       0.48      0.68      0.56        57
           4       0.73      0.71      0.72        63
           5       0.48      0.48      0.48        60
           6       0.73      0.60      0.66        60
           7       0.56      0.49      0.52        47
           8       0.58      0.58      0.58        64
           9       0.85      0.53      0.65        66
         A_U       0.82      0.71      0.76        65
         B_U       0.55      0.55      0.55        53
         C_U       0.54      0.60      0.57        58
         D_U       0.51      0.59      0.55        61
         E_U       0.68      0.50      0.58        52
         F_U       0.69      0.61      0.65        57
         G_U       0.43      0.37      0.40        63
         H_U       0.82      0.48      0.61        56
         I_U       0.41      0.16      0.23        70
         J_U       0.12      0.04      0.05        56
         K_U       0.53      0.77      0.63        47
         L_U       0.62      0.70      0.66        57
         M_U       0.58      0.50      0.54        60
         N_U       0.63      0.57      0.60        54
         O_U       0.56      0.34      0.42        59
         P_U       0.92      0.56      0.69        61
         Q_U       0.43      0.72      0.54        53
         R_U       0.80      0.56      0.66        59
         S_U       0.71      0.52      0.60        62
         T_U       0.60      0.68      0.64        60
         U_U       0.52      0.60      0.56        55
         V_U       0.69      0.62      0.66        66
         W_U       0.44      0.77      0.56        64
         X_U       0.71      0.59      0.65        68
         Y_U       0.69      0.62      0.65        56
         Z_U       0.76      0.68      0.72        78
         a_L       0.41      0.46      0.43        57
         b_L       0.73      0.55      0.63        65
         c_L       0.38      0.67      0.48        52
         d_L       0.57      0.59      0.58        68
         e_L       0.70      0.62      0.66        56
         f_L       0.38      0.66      0.48        53
         g_L       0.75      0.52      0.62        63
         h_L       0.54      0.60      0.57        52
         i_L       0.37      0.51      0.43        55
         j_L       0.74      0.69      0.71        67
         k_L       0.49      0.67      0.57        52
         l_L       0.32      0.27      0.29        63
         m_L       0.76      0.60      0.67        63
         n_L       0.67      0.54      0.60        61
         o_L       0.48      0.39      0.43        57
         p_L       0.81      0.67      0.74        64
         q_L       0.55      0.64      0.59        59
         r_L       0.54      0.75      0.62        59
         s_L       0.48      0.62      0.54        60
         t_L       0.54      0.44      0.49        63
         u_L       0.60      0.40      0.48        70
         v_L       0.77      0.48      0.59        77
         w_L       0.23      0.74      0.35        70
         x_L       0.50      0.57      0.53        54
         y_L       0.76      0.52      0.62        65
         z_L       0.48      0.62      0.54        64

    accuracy                           0.56      3720
   macro avg       0.59      0.56      0.56      3720
weighted avg       0.59      0.56      0.56      3720
